AK,3/20/2020
AL,3/27/2020
AR,
AZ,
CA,3/19/2020
CO,3/26/2020
CT,3/20/2020
DC,3/24/2020
DE,3/22/2020
FL,4/1/2020
GA,
HI,
IA,3/26/2020
ID,3/25/2020
IL,3/20/2020
IN,3/23/2020
KS,3/23/2020
KY,3/23/2020
LA,
MA,3/23/2020
MD,3/23/2020
ME,3/24/2020
MI,3/23/2020
MN,
MO,4/3/2020
MS,
MT,3/26/2020
NC,3/27/2020
ND,4/2/2020
NE,
NH,3/26/2020
NJ,3/21/2020
NM,3/23/2020
NV,3/20/2020
NY,3/20/2020
OH,3/22/2020
OK,3/24/2020
OR,3/23/2020
PA,3/19/2020
RI,
SC,3/31/2020
SD,
TN,3/30/2020
TX,
UT,
VA,3/23/2020
VT,3/24/2020
WA,3/23/2020
WI,3/24/2020
WV,3/23/2020
WY,
